,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,worldwide_gross,worldwide_profit,release_date,percent_returns
362,8.318999999999999,Rubber,5.9,417,2460.3,82.0,Horror,500000,680914,180914,2010-09-01,136.18280000000001
363,8.318999999999999,Rubber,5.9,417,2460.3,82.0,Comedy,500000,680914,180914,2010-09-01,136.18280000000001
364,8.318999999999999,Rubber,5.9,417,2460.3,82.0,Fantasy,500000,680914,180914,2010-09-01,136.18280000000001
365,8.318999999999999,Rubber,5.9,417,2460.3,82.0,Horror,500000,680914,180914,2010-09-01,136.18280000000001
366,8.281,Going the Distance,6.0,394,2364.0,102.0,Comedy,32000000,43603990,11603990,2010-09-03,136.26246875
367,8.281,Going the Distance,6.0,394,2364.0,102.0,Romance,32000000,43603990,11603990,2010-09-03,136.26246875
368,8.259,The Warrior's Way,6.1,203,1238.3,100.0,Action,42000000,8514325,-33485675,2010-12-03,20.272202380952383
369,8.259,The Warrior's Way,6.1,203,1238.3,100.0,Fantasy,42000000,8514325,-33485675,2010-12-03,20.272202380952383
370,8.259,The Warrior's Way,6.1,203,1238.3,100.0,Western,42000000,8514325,-33485675,2010-12-03,20.272202380952383
371,8.19,The Runaways,6.4,448,2867.2000000000003,106.0,Biography,9500000,5278632,-4221368,2010-03-19,55.56454736842106
372,8.19,The Runaways,6.4,448,2867.2000000000003,106.0,Drama,9500000,5278632,-4221368,2010-03-19,55.56454736842106
373,8.19,The Runaways,6.4,448,2867.2000000000003,106.0,Music,9500000,5278632,-4221368,2010-03-19,55.56454736842106
374,8.163,Paranormal Activity 2,5.7,1342,7649.400000000001,91.0,Horror,3000000,177512032,174512032,2010-10-21,5917.067733333333
375,7.886,Hereafter,5.9,848,5003.200000000001,129.0,Drama,50000000,108660270,58660270,2010-10-22,217.32054
376,7.886,Hereafter,5.9,848,5003.200000000001,129.0,Fantasy,50000000,108660270,58660270,2010-10-22,217.32054
377,7.886,Hereafter,5.9,848,5003.200000000001,129.0,Romance,50000000,108660270,58660270,2010-10-22,217.32054
378,7.871,All Good Things,6.0,493,2958.0,101.0,Crime,20000000,873617,-19126383,2010-12-03,4.368085
379,7.871,All Good Things,6.0,493,2958.0,101.0,Drama,20000000,873617,-19126383,2010-12-03,4.368085
380,7.871,All Good Things,6.0,493,2958.0,101.0,Mystery,20000000,873617,-19126383,2010-12-03,4.368085
381,7.829,The Ghost Writer,6.8,1135,7718.0,128.0,Drama,45000000,65532491,20532491,2010-02-12,145.6277577777778
382,7.829,The Ghost Writer,6.8,1135,7718.0,128.0,Mystery,45000000,65532491,20532491,2010-02-12,145.6277577777778
383,7.829,The Ghost Writer,6.8,1135,7718.0,128.0,Thriller,45000000,65532491,20532491,2010-02-12,145.6277577777778
384,7.814,Derailed,6.2,500,3100.0,107.0,Action,22000000,57520063,35520063,2005-11-11,261.45483181818184
385,7.814,Derailed,6.2,500,3100.0,107.0,Crime,22000000,57520063,35520063,2005-11-11,261.45483181818184
386,7.775,She's Out of My League,6.1,970,5917.0,104.0,Comedy,20000000,48680977,28680977,2010-03-12,243.40488499999998
387,7.775,She's Out of My League,6.1,970,5917.0,104.0,Romance,20000000,48680977,28680977,2010-03-12,243.40488499999998
388,7.745,The Switch,6.1,1008,6148.799999999999,101.0,Comedy,19000000,49858465,30858465,2010-08-20,262.4129736842105
389,7.745,The Switch,6.1,1008,6148.799999999999,101.0,Drama,19000000,49858465,30858465,2010-08-20,262.4129736842105
390,7.745,The Switch,6.1,1008,6148.799999999999,101.0,Romance,19000000,49858465,30858465,2010-08-20,262.4129736842105
391,7.735,Cyrus,6.0,201,1206.0,87.0,Crime,7000000,10062896,3062896,2010-06-18,143.75565714285713
