,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,domestic_profit,worldwide_profit,release_date
55,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Music,30000000,12400223,135889117,2010-08-06
56,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Romance,30000000,12400223,135889117,2010-08-06
57,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Action,110000000,-32777901,67241171,2010-06-11
58,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Adventure,110000000,-32777901,67241171,2010-06-11
59,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Thriller,110000000,-32777901,67241171,2010-06-11
60,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Action,150000000,-18227813,169713881,2010-07-01
61,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Adventure,150000000,-18227813,169713881,2010-07-01
62,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Family,150000000,-18227813,169713881,2010-07-01
63,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Action,40000000,12000688,87234389,2010-07-03
64,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Adventure,40000000,12000688,87234389,2010-07-03
65,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Sci-Fi,40000000,12000688,87234389,2010-07-03
66,15.889,The Social Network,7.2,6116,44035.200000000004,120.0,Biography,40000000,56962694,184922135,2010-10-01
67,15.889,The Social Network,7.2,6116,44035.200000000004,120.0,Drama,40000000,56962694,184922135,2010-10-01
68,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Action,125000000,38214888,368214888,2010-04-02
69,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Action,15000000,15000000,29400000,2010-04-02
70,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Adventure,125000000,38214888,368214888,2010-04-02
71,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Adventure,15000000,15000000,29400000,2010-04-02
72,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Fantasy,125000000,38214888,368214888,2010-04-02
73,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Fantasy,15000000,15000000,29400000,2010-04-02
74,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Action,210000000,-104512852,112459006,2010-05-14
75,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Action,99000000,-68175372,-14252559,2010-05-14
76,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Adventure,210000000,-104512852,112459006,2010-05-14
77,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Adventure,99000000,-68175372,-14252559,2010-05-14
78,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Drama,210000000,-104512852,112459006,2010-05-14
79,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Drama,99000000,-68175372,-14252559,2010-05-14
80,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Action,210000000,-104512852,112459006,2010-05-14
81,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Action,99000000,-68175372,-14252559,2010-05-14
82,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Drama,210000000,-104512852,112459006,2010-05-14
83,15.444,Robin Hood,6.3,2569,16184.699999999999,92.0,Drama,99000000,-68175372,-14252559,2010-05-14
84,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Action,210000000,-104512852,112459006,2010-05-14
85,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Action,99000000,-68175372,-14252559,2010-05-14
86,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Adventure,210000000,-104512852,112459006,2010-05-14
87,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Adventure,99000000,-68175372,-14252559,2010-05-14
88,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Thriller,210000000,-104512852,112459006,2010-05-14
89,15.444,Robin Hood,6.3,2569,16184.699999999999,116.0,Thriller,99000000,-68175372,-14252559,2010-05-14
90,15.444,Robin Hood,6.3,2569,16184.699999999999,60.0,Action,210000000,-104512852,112459006,2010-05-14
91,15.444,Robin Hood,6.3,2569,16184.699999999999,60.0,Action,99000000,-68175372,-14252559,2010-05-14
92,15.444,Robin Hood,6.3,2569,16184.699999999999,60.0,Adventure,210000000,-104512852,112459006,2010-05-14
93,15.444,Robin Hood,6.3,2569,16184.699999999999,60.0,Adventure,99000000,-68175372,-14252559,2010-05-14
94,15.444,Robin Hood,6.3,2569,16184.699999999999,60.0,History,210000000,-104512852,112459006,2010-05-14
95,15.444,Robin Hood,6.3,2569,16184.699999999999,60.0,History,99000000,-68175372,-14252559,2010-05-14
96,0.68,Robin Hood,5.7,3,17.1,140.0,Action,210000000,-104512852,112459006,2013-01-31
97,0.68,Robin Hood,5.7,3,17.1,140.0,Action,99000000,-68175372,-14252559,2013-01-31
98,0.68,Robin Hood,5.7,3,17.1,140.0,Adventure,210000000,-104512852,112459006,2013-01-31
99,0.68,Robin Hood,5.7,3,17.1,140.0,Adventure,99000000,-68175372,-14252559,2013-01-31
100,0.68,Robin Hood,5.7,3,17.1,140.0,Drama,210000000,-104512852,112459006,2013-01-31
101,0.68,Robin Hood,5.7,3,17.1,140.0,Drama,99000000,-68175372,-14252559,2013-01-31
102,0.68,Robin Hood,5.7,3,17.1,92.0,Action,210000000,-104512852,112459006,2013-01-31
103,0.68,Robin Hood,5.7,3,17.1,92.0,Action,99000000,-68175372,-14252559,2013-01-31
104,0.68,Robin Hood,5.7,3,17.1,92.0,Drama,210000000,-104512852,112459006,2013-01-31
105,0.68,Robin Hood,5.7,3,17.1,92.0,Drama,99000000,-68175372,-14252559,2013-01-31
106,0.68,Robin Hood,5.7,3,17.1,116.0,Action,210000000,-104512852,112459006,2013-01-31
107,0.68,Robin Hood,5.7,3,17.1,116.0,Action,99000000,-68175372,-14252559,2013-01-31
108,0.68,Robin Hood,5.7,3,17.1,116.0,Adventure,210000000,-104512852,112459006,2013-01-31
109,0.68,Robin Hood,5.7,3,17.1,116.0,Adventure,99000000,-68175372,-14252559,2013-01-31
110,0.68,Robin Hood,5.7,3,17.1,116.0,Thriller,210000000,-104512852,112459006,2013-01-31
111,0.68,Robin Hood,5.7,3,17.1,116.0,Thriller,99000000,-68175372,-14252559,2013-01-31
112,0.68,Robin Hood,5.7,3,17.1,60.0,Action,210000000,-104512852,112459006,2013-01-31
113,0.68,Robin Hood,5.7,3,17.1,60.0,Action,99000000,-68175372,-14252559,2013-01-31
114,0.68,Robin Hood,5.7,3,17.1,60.0,Adventure,210000000,-104512852,112459006,2013-01-31
115,0.68,Robin Hood,5.7,3,17.1,60.0,Adventure,99000000,-68175372,-14252559,2013-01-31
116,0.68,Robin Hood,5.7,3,17.1,60.0,History,210000000,-104512852,112459006,2013-01-31
117,0.68,Robin Hood,5.7,3,17.1,60.0,History,99000000,-68175372,-14252559,2013-01-31
118,39.975,Robin Hood,5.8,1194,6925.2,140.0,Action,210000000,-104512852,112459006,2018-11-21
119,39.975,Robin Hood,5.8,1194,6925.2,140.0,Action,99000000,-68175372,-14252559,2018-11-21
120,39.975,Robin Hood,5.8,1194,6925.2,140.0,Adventure,210000000,-104512852,112459006,2018-11-21
121,39.975,Robin Hood,5.8,1194,6925.2,140.0,Adventure,99000000,-68175372,-14252559,2018-11-21
122,39.975,Robin Hood,5.8,1194,6925.2,140.0,Drama,210000000,-104512852,112459006,2018-11-21
123,39.975,Robin Hood,5.8,1194,6925.2,140.0,Drama,99000000,-68175372,-14252559,2018-11-21
124,39.975,Robin Hood,5.8,1194,6925.2,92.0,Action,210000000,-104512852,112459006,2018-11-21
125,39.975,Robin Hood,5.8,1194,6925.2,92.0,Action,99000000,-68175372,-14252559,2018-11-21
126,39.975,Robin Hood,5.8,1194,6925.2,92.0,Drama,210000000,-104512852,112459006,2018-11-21
127,39.975,Robin Hood,5.8,1194,6925.2,92.0,Drama,99000000,-68175372,-14252559,2018-11-21
128,39.975,Robin Hood,5.8,1194,6925.2,116.0,Action,210000000,-104512852,112459006,2018-11-21
129,39.975,Robin Hood,5.8,1194,6925.2,116.0,Action,99000000,-68175372,-14252559,2018-11-21
130,39.975,Robin Hood,5.8,1194,6925.2,116.0,Adventure,210000000,-104512852,112459006,2018-11-21
131,39.975,Robin Hood,5.8,1194,6925.2,116.0,Adventure,99000000,-68175372,-14252559,2018-11-21
132,39.975,Robin Hood,5.8,1194,6925.2,116.0,Thriller,210000000,-104512852,112459006,2018-11-21
133,39.975,Robin Hood,5.8,1194,6925.2,116.0,Thriller,99000000,-68175372,-14252559,2018-11-21
134,39.975,Robin Hood,5.8,1194,6925.2,60.0,Action,210000000,-104512852,112459006,2018-11-21
135,39.975,Robin Hood,5.8,1194,6925.2,60.0,Action,99000000,-68175372,-14252559,2018-11-21
